service_id,date,exception_type
L19A3_L19A1,20260614,1
L19A3_L19A2,20260614,1
L19A3_L19A3,20260614,1
L19A3_L19A1,20260621,1
L19A3_L19A2,20260621,1
L19A3_L19A3,20260621,1
L1A11_L1A1,20260318,1
L1A11_L1A10,20260318,1
L1A11_L1A11,20260318,1
L1A11_L1A2,20260318,1
L1A11_L1A3,20260318,1
L1A11_L1A4,20260318,1
L1A11_L1A5,20260318,1
L1A11_L1A6,20260318,1
L1A11_L1A7,20260318,1
L1A11_L1A8,20260318,1
L1A11_L1A9,20260318,1
L1A11_L1A1,20260319,1
L1A11_L1A10,20260319,1
L1A11_L1A11,20260319,1
L1A11_L1A2,20260319,1
L1A11_L1A3,20260319,1
L1A11_L1A4,20260319,1
L1A11_L1A5,20260319,1
L1A11_L1A6,20260319,1
L1A11_L1A7,20260319,1
L1A11_L1A8,20260319,1
L1A11_L1A9,20260319,1
L1A11_L1A1,20260320,1
L1A11_L1A10,20260320,1
L1A11_L1A11,20260320,1
L1A11_L1A2,20260320,1
L1A11_L1A3,20260320,1
L1A11_L1A4,20260320,1
L1A11_L1A5,20260320,1
L1A11_L1A6,20260320,1
L1A11_L1A7,20260320,1
L1A11_L1A8,20260320,1
L1A11_L1A9,20260320,1
L1A11_L1A1,20260323,1
L1A11_L1A10,20260323,1
L1A11_L1A11,20260323,1
L1A11_L1A2,20260323,1
L1A11_L1A3,20260323,1
L1A11_L1A4,20260323,1
L1A11_L1A5,20260323,1
L1A11_L1A6,20260323,1
L1A11_L1A7,20260323,1
L1A11_L1A8,20260323,1
L1A11_L1A9,20260323,1
L1A11_L1A1,20260324,1
L1A11_L1A10,20260324,1
L1A11_L1A11,20260324,1
L1A11_L1A2,20260324,1
L1A11_L1A3,20260324,1
L1A11_L1A4,20260324,1
L1A11_L1A5,20260324,1
L1A11_L1A6,20260324,1
L1A11_L1A7,20260324,1
L1A11_L1A8,20260324,1
L1A11_L1A9,20260324,1
L1A11_L1A1,20260325,1
L1A11_L1A10,20260325,1
L1A11_L1A11,20260325,1
L1A11_L1A2,20260325,1
L1A11_L1A3,20260325,1
L1A11_L1A4,20260325,1
L1A11_L1A5,20260325,1
L1A11_L1A6,20260325,1
L1A11_L1A7,20260325,1
L1A11_L1A8,20260325,1
